Order No,Order Date,Customer Name,Address,City,State,Customer Type,Account Manager,Order Priority,Product Name,Product Category,Product Container,Ship Mode,Ship Date,Cost Price,Retail Price,Profit Margin,Order Quantity,Sub Total,Discount %,Discount ,Order Total,Shipping Cost,Total
5284-1,2015-05-22,Thomas Boland,"3/219 Canley Vale Road,Canley Heights",Sydney,NSW,Home Office,Mihael Khan,Medium,Artisan 474 Labels,Office Supplies,Wrap Bag,Express Air,2015-05-24,1.84,2.88,1.04,5,32,8%,2.15,20.83,0.99,32
5284-1,2013-12-08,Bel Wallans,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Small Business,Connor Betts,Not Specified,Artisan 48 Labels,Office Supplies,Small Box,Regular Air,2013-12-10,3.84,6.30,2.46,27,208,3%,23.25,215.09,0.50,274
5284-1,2013-10-28,Paul Prost,"120 Hardware St,Melbourne",Melbourne,VIC,Consumer,Yvette Biti,Low,13 Colored Short Pencils,Office Supplies,Wrap Bag,Regular Air,2013-10-29,1.09,2.60,1.51,44,43,1%,3.46,39.74,2.40,48
5284-1,2014-12-01,Jesus Ocampo,"60 Commercial Rd,Prahran",Melbourne,VIC,Consumer,Yvette Biti,Not Specified,Artisan 474 Labels,Technology,Small Pack,Regular Air,2014-12-08,1.84,2.88,1.04,21,28,1%,0.75,26.13,0.99,27
5285-1,2013-09-03,Rob Haberlin,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Small Business,Connor Betts,Not Specified,Artisan 48 Labels,Office Supplies,Small Pack,Regular Air,2013-09-05,3.84,6.30,2.46,8,129,8%,3.96,126.72,0.50,227
5285-1,2014-10-17,Sam Craven,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Small Business,Connor Betts,High,Artisan Hi-Liter Smear-Safe Highlighters,Office Supplies,Small Box,Express Air,2014-10-19,2.98,5.84,2.86,29,43,3%,2.56,42.14,0.83,49
5285-1,2014-09-27,Cindy Chapman,"53-55 Liverpool St,Sydney",Sydney,NSW,Corporate,Tina Carlton,Not Specified,Artisan Binder Labels,Office Supplies,Small Box,Regular Air,2014-10-02,2.45,3.89,1.44,19,307,10%,0.00,208.43,7.01,205
5285-1,2013-09-26,Tamara Dhonney,"127 Liverpool St,Sydney",Sydney,NSW,Home Office,Samantha Chairs,Medium,"Alto Parchment Paper, Assorted Colors",Office Supplies,Small Pack,Regular Air,2013-10-02,4.59,7.28,2.69,22,255,7%,23.13,227.51,11.15,222
5285-1,2013-07-30,Corinna Mitchell,"27 Greenfield Parade,Bankstown",Sydney,NSW,Consumer,Nicholas Fernandes,Critical,Desktop 3-Pocket Hot File,Technology,Jumbo Drum,Delivery Truck,2013-07-31,22.18,54.10,31.92,42,2262,7%,37.68,2206.08,19.99,2217
5286-1,2016-05-10,Roy Collins,"Westfield Sydney,Sydney",Sydney,NSW,Home Office,Natasha Song,Low,Wirebound Voice Message Log Book,Technology,Small Box,Regular Air,2016-05-12,2.90,4.76,1.86,14,36,3%,1.35,36.55,0.88,36
5286-1,2015-01-13,Max Jones,"240-242 Johnston Street,Fitzroy",Melbourne,VIC,Small Business,Connor Betts,Medium,OIC Thumb-Tacks,Office Supplies,Small Box,Express Air,2015-01-15,0.71,1.14,0.43,27,17,10%,1.69,16.25,0.70,15
5286-1,2013-04-19,Craig Carroll,"99 Lygon Street,East Brunswick",Melbourne,VIC,Corporate,Connor Betts,High,12 Colored Short Pencils,Office Supplies,Wrap Bag,Regular Air,2013-04-20,1.09,2.60,1.51,14,54,8%,3.43,50.67,2.40,51
5286-1,2014-12-28,Tim Taslimi,"188 Pitt Street,Sydney",Sydney,NSW,Home Office,Tina Carlton,Low,"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Wrap Bag,Express Air,2014-12-28,4.53,7.30,2.77,43,271,1%,10.80,275.10,7.72,263
5286-1,2013-10-26,Tamara Wizlingham,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Home Office,Phoebe Gour,Not Specified,Binding Machine Supplies,Technology,Small Box,Regular Air,2013-10-28,18.38,29.17,10.79,18,331,10%,3.06,305.64,6.27,305
5286-1,2015-12-31,Matt Collister,"99 Glebe Point Rd,Glebe",Sydney,NSW,Small Business,Natasha Song,Medium,"DrawIt Colored Pencils, 48-Color Set",Office Supplies,Small Box,Regular Air,2016-01-01,21.56,36.55,14.99,39,1060,8%,515.99,901.98,13.89,918
5286-1,2013-07-22,Rick Hansen,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Corporate,Nicholas Fernandes,High,Artisan 474 Labels,Office Supplies,Small Box,Regular Air,2013-07-23,1.84,2.88,1.04,43,62,9%,0.33,52.66,0.99,53
5286-1,2013-07-30,Corinna Mitchell,"27 Greenfield Parade,Bankstown",Sydney,NSW,Small Business,Nicholas Fernandes,High,Artisan 48 Labels,Furniture,Small Pack,Regular Air,2013-07-31,3.84,6.30,2.46,31,228,3%,5.66,223.16,0.50,223
5286-1,2014-01-13,Ashley Jarboe,"180 High Street,Windsor",Melbourne,VIC,Corporate,Connor Betts,Medium,Artisan Legal 4-Ring Binder,Office Supplies,Wrap Bag,Regular Air,2014-01-18,13.64,20.98,7.34,17,628,9%,422.16,536.02,1.49,538
5286-1,2013-03-11,Art Foster,"Westfield Parramatta,Parramatta",Sydney,NSW,Corporate,Stevie Bacata,Low,3Max Organizer Strips,Office Supplies,Wrap Bag,Regular Air,2013-03-13,3.40,5.40,2.00,19,134,0%,4.60,134.94,7.78,142
5287-1,2014-02-22,Amy Cox,"523 King St,Newtown",Sydney,NSW,Home Office,Aanya Zhang,Low,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Small Box,Regular Air,2014-02-23,5.33,8.60,3.27,37,460,4%,14.04,444.28,6.19,445
5288-1,2013-07-10,Julie Kriz,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Corporate,Nicholas Fernandes,Critical,Artisan Hi-Liter Fluorescent Desk Style Markers,Office Supplies,Small Pack,Regular Air,2013-07-10,1.76,3.38,1.62,49,121,2%,3.76,219.56,0.85,223
5288-1,2014-09-27,Anthony Johnson,"1-2/299 Sussex St,Sydney",Sydney,NSW,Home Office,Aanya Zhang,High,HFX LaserJet 3310 Copier,Office Supplies,Small Box,Regular Air,2014-09-29,377.99,599.99,222.00,23,12050,1%,121.00,11184.75,24.49,11191
5288-1,2014-12-01,Ritsa Hightower,"1/160 Anzac Parade,Kensington",Sydney,NSW,Consumer,Natasha Song,Low,Smiths File Caddy,Technology,Small Box,Regular Air,2014-12-05,4.03,9.38,5.35,26,237,1%,16.54,226.50,7.28,239
5288-1,2013-08-07,Alex Grayson,"644 George St,Sydney",Sydney,NSW,Consumer,Radhya Staples,Not Specified,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Small Box,Regular Air,2013-08-09,5.33,8.60,3.27,30,273,1%,8.68,227.52,6.19,232
5290-1,2013-10-28,Toby Knight,"Crown Complex,Southbank",Melbourne,VIC,Home Office,Connor Betts,Low,"Laser Neon Mac Format Diskettes, 10/Pack",Technology,Small Box,Express Air,2013-10-29,1.87,8.12,6.25,6,300,10%,0.00,300.44,2.83,303
5290-1,2013-06-26,Roy Collins,"Westfield Sydney,Sydney",Sydney,NSW,Consumer,Natasha Song,High,Alto Memo Cubes,Office Supplies,Wrap Bag,Regular Air,2013-06-27,3.32,5.18,1.86,31,136,9%,3.06,125.86,2.04,127
5290-1,2013-10-28,Toby Knight,"Crown Complex,Southbank",Melbourne,VIC,Home Office,Connor Betts,High,"Laser Neon Mac Format Diskettes, 10/Pack",Office Supplies,Wrap Bag,Regular Air,2013-10-29,1.87,8.12,6.25,28,300,4%,0.00,300.44,2.83,303
5290-1,2013-10-28,Toby Knight,"Crown Complex,Southbank",Melbourne,VIC,Corporate,Yvette Biti,Medium,"Laser Neon Mac Format Diskettes, 10/Pack",Office Supplies,Small Box,Regular Air,2013-10-29,1.87,8.12,6.25,50,300,9%,0.00,300.44,2.83,303
5290-1,2013-11-02,Eugene Hildebrand,"120 Hardware St,Melbourne",Melbourne,VIC,Small Business,Connor Betts,Not Specified,PastelOcean Color Pencil Set,Office Supplies,Small Pack,Regular Air,2013-11-03,11.11,19.84,8.73,18,329,2%,13.14,315.36,4.10,325
5290-1,2013-02-26,Natalie Webber,"98-104 Parramatta Rd,Camperdown",Sydney,NSW,Corporate,Phoebe Gour,High,"Laser Neon Mac Format Diskettes, 10/Pack",Furniture,Small Pack,Regular Air,2013-02-26,1.87,8.12,6.25,37,300,9%,0.00,300.44,2.83,303
5290-1,2013-10-28,Toby Knight,"Crown Complex,Southbank",Melbourne,VIC,Consumer,Connor Betts,High,"Laser Neon Mac Format Diskettes, 10/Pack",Office Supplies,Wrap Bag,Regular Air,2013-10-29,1.87,8.12,6.25,27,300,7%,0.00,300.44,2.83,303
5290-1,2015-12-04,Lindsay Castell,"5/250 Old Northern Road ,Castle Hill",Sydney,NSW,Home Office,Nicholas Fernandes,Low,"24 Capacity Maxi Data Binder Racks, Pearl",Office Supplies,Small Box,Regular Air,2015-12-05,84.22,210.55,126.33,37,842,9%,42.11,800.07,9.99,810
5290-1,2013-05-26,Thomas Boland,"3/219 Canley Vale Road,Canley Heights",Sydney,NSW,Small Business,Mihael Khan,Critical,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Small Box,Express Air,2013-05-26,5.33,8.60,3.27,28,261,4%,25.11,236.09,6.19,235
5291-1,2014-06-08,John Lee,"180 High Street,Windsor",Melbourne,VIC,Home Office,Connor Betts,Not Specified,Binding Machine Supplies,Office Supplies,Small Box,Regular Air,2014-06-10,18.38,29.17,10.79,18,157,10%,5.54,146.12,6.27,147
5291-1,2013-05-07,Grant Carroll,"10 O'Connell St,Sydney",Sydney,NSW,Home Office,Aanya Zhang,Critical,Artisan Hanging File Binders,Office Supplies,Small Pack,Regular Air,2013-05-09,3.65,5.98,2.33,16,206,3%,17.25,189.14,1.49,196
5291-1,2013-09-04,Darrin Martin,"221 Barkly St,St Kilda",Melbourne,VIC,Consumer,Yvette Biti,Low,TypeRight Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Wrap Bag,Regular Air,2013-09-06,54.29,90.48,36.19,8,438,5%,14.32,434.62,19.99,446
5292-1,2013-07-10,Craig Carroll,"99 Lygon Street,East Brunswick",Melbourne,VIC,Small Business,Connor Betts,Critical,Smiths Metal Binder Clips,Office Supplies,Small Box,Regular Air,2013-07-13,1.60,2.62,1.02,15,17,5%,1.09,16.10,0.80,18
5292-1,2013-10-29,Sung Chung,"127 Liverpool St,Sydney",Sydney,NSW,Consumer,Samantha Chairs,Low,Artisan 481 Labels,Office Supplies,Wrap Bag,Regular Air,2013-10-30,1.94,3.08,1.14,23,126,9%,5.05,121.23,0.99,122
5292-1,2014-11-02,Lindsay Shagiari,"5/250 Old Northern Road ,Castle Hill",Sydney,NSW,Corporate,Nicholas Fernandes,Not Specified,Smiths SlimLine Pencil Sharpener,Office Supplies,Wrap Bag,Regular Air,2014-11-04,4.79,11.97,7.18,41,245,2%,14.45,225.33,5.81,226
5292-1,2013-10-29,Sung Chung,"127 Liverpool St,Sydney",Sydney,NSW,Home Office,Samantha Chairs,Not Specified,Artisan 481 Labels,Office Supplies,Small Box,Regular Air,2013-10-30,1.94,3.08,1.14,33,126,9%,5.05,121.23,0.99,222
5292-1,2013-10-29,Sung Chung,"53-55 Liverpool St,Sydney",Sydney,NSW,Small Business,Tina Carlton,Medium,Artisan 481 Labels,Office Supplies,Small Box,Regular Air,2013-10-30,1.94,3.08,1.14,32,126,10%,5.05,121.23,0.99,122
5292-1,2013-10-29,Sung Chung,"127 Liverpool St,Sydney",Sydney,NSW,Consumer,Samantha Chairs,High,Artisan 481 Labels,Office Supplies,Small Box,Regular Air,2013-10-30,1.94,3.08,1.14,4,126,4%,5.05,121.23,0.99,122
5292-1,2013-12-16,Henry Goldwyn,"541 Church St,Richmond",Melbourne,VIC,Corporate,Yvette Biti,Not Specified,Artisan 481 Labels,Office Supplies,Wrap Bag,Regular Air,2013-12-19,1.94,3.08,1.14,40,127,3%,12.28,121.74,0.99,122
5292-1,2014-10-04,Eric Barreto,"359 Crown Street,Surry Hills",Sydney,NSW,Corporate,Phoebe Gour,High,Artisan Reinforcements for Hole-Punch Pages,Office Supplies,Wrap Bag,Regular Air,2014-10-02,1.19,1.98,0.79,16,43,10%,0.00,43.20,4.77,50
5292-1,2013-10-29,Sung Chung,"53-55 Liverpool St,Sydney",Sydney,NSW,Home Office,Tina Carlton,Medium,Artisan 481 Labels,Office Supplies,Wrap Bag,Regular Air,2013-10-30,1.94,3.08,1.14,25,126,10%,5.05,121.23,0.99,122
5292-1,2014-02-12,Julie Prescott,"438 Victoria Avenue,Chatswood",Sydney,NSW,Corporate,Natasha Song,High,Artisan 478 Labels,Office Supplies,Wrap Bag,Regular Air,2014-02-13,3.14,4.91,1.77,4,43,9%,4.09,43.39,0.50,43
5292-1,2014-09-28,Giulietta Baptist,"Hoyts Entertainment Quarter 122 Lang Road,Moore Park",Sydney,NSW,Corporate,Tina Carlton,Low,OIC Bulk Pack Metal Binder Clips,Office Supplies,Small Box,Regular Air,2014-09-29,3.95,6.08,2.13,32,142,10%,5.67,137.02,1.82,137
5293-1,2014-06-15,Toby Swindell,"273 George Street,Sydney",Sydney,NSW,Home Office,Leighton Forrest,Medium,Artisan 481 Labels,Office Supplies,Small Pack,Regular Air,2014-06-15,1.94,3.08,1.14,22,14,2%,1.28,12.34,0.99,12
5293-1,2013-08-12,Stra Carroll,"Westfield Sydney,Sydney",Sydney,NSW,Home Office,Natasha Song,Medium,Artisan Legal 4-Ring Binder,Office Supplies,Small Box,Regular Air,2013-08-14,13.64,20.98,7.34,18,830,5%,26.56,735.04,1.49,795
5293-1,2014-08-05,Ed Ludwig,"221 Barkly St,St Kilda",Melbourne,VIC,Home Office,Yvette Biti,Not Specified,Apex Preferred Stainless Steel Scissors,Office Supplies,Small Box,Regular Air,2014-08-07,2.50,5.68,3.18,18,212,10%,6.73,123.13,3.60,122
5294-1,2014-02-24,Pauline Chand,"501 George St,Sydney",Sydney,NSW,Consumer,Samantha Chairs,High,"3Max Polarizing Task Lamp with Clamp Arm, Light Gray",Office Supplies,Small Pack,Regular Air,2014-02-26,56.16,136.98,80.82,26,1218,8%,10.36,1269.15,24.49,1299
5294-1,2013-11-01,Kristina Nunn,"22 Civic Rd,Auburn",Sydney,NSW,Corporate,Mihael Khan,Low,"Laser Neon Mac Format Diskettes, 10/Pack",Office Supplies,Small Box,Regular Air,2013-11-02,1.87,8.12,6.25,34,130,6%,3.90,126.02,2.83,129
5294-1,2013-11-01,Kristina Nunn,"22 Civic Rd,Auburn",Sydney,NSW,Consumer,Mihael Khan,Low,"Laser Neon Mac Format Diskettes, 10/Pack",Office Supplies,Small Box,Express Air,2013-11-02,1.87,8.12,6.25,32,130,10%,3.90,126.02,2.83,129
5294-1,2014-02-07,Logan Haushalter,"221 Barkly St,St Kilda",Melbourne,VIC,Small Business,Yvette Biti,Medium,"Alto Parchment Paper, Assorted Colors",Technology,Small Box,Regular Air,2014-02-16,4.59,7.28,2.69,26,234,3%,2.09,226.03,11.15,227
5294-1,2013-11-01,Kristina Nunn,"22 Civic Rd,Auburn",Sydney,NSW,Corporate,Mihael Khan,Not Specified,"Laser Neon Mac Format Diskettes, 10/Pack",Furniture,Small Pack,Regular Air,2013-11-02,1.87,8.12,6.25,8,130,10%,3.90,126.02,2.83,129
5294-1,2015-03-31,Paul Prost,"98-104 Parramatta Rd,Canmerd",Sydney,NSW,Home Office,Phoebe Gour,High,Apex Elite Stainless Steel Scissors,Office Supplies,Wrap Bag,Regular Air,2015-03-31,3.42,8.34,4.92,10,228,1%,12.45,219.11,2.64,232
5294-1,2014-09-10,Benjamin Farhat,"188 Pitt Street,Sydney",Sydney,NSW,Corporate,Tina Carlton,Low,Alto Memo Cubes,Technology,Small Box,Regular Air,2014-09-12,3.32,5.18,1.86,34,146,10%,15.56,133.04,2.04,142
5294-1,2013-03-16,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Consumer,Tina Carlton,Low,Artisan Non-Stick Binders,Office Supplies,Small Box,Regular Air,2013-03-20,2.74,4.49,1.75,34,131,3%,9.06,127.22,1.49,129
5294-1,2013-12-05,Trudy Brown,"180 High Street,Windsor",Melbourne,VIC,Small Business,Connor Betts,Not Specified,Adesso Programmable 142-Key Keyboard,Office Supplies,Wrap Bag,Regular Air,2013-12-07,32.02,152.48,120.46,49,2256,7%,120.68,2206.95,4.00,2267
5295-1,2014-02-24,Chad McGuire,"81 MacLeay St,Potts Point",Sydney,NSW,Small Business,Samantha Chairs,Low,"Alto Parchment Paper, Assorted Colors",Office Supplies,Small Box,Regular Air,2014-02-25,4.59,7.28,2.69,41,366,6%,0.00,356.12,11.15,352
5295-1,2014-06-25,Nora Paige,"85-113 Dunning Ave,Roseberry",Sydney,NSW,Small Business,Mihael Khan,Medium,Artisan Binder Labels,Office Supplies,Small Box,Regular Air,2014-06-25,2.45,3.89,1.44,13,127,4%,11.58,117.48,7.01,118
5296-1,2014-11-30,Lena Creighton,"127 Liverpool St,Sydney",Sydney,NSW,Consumer,Samantha Chairs,High,Apex Straight Scissors,Office Supplies,Wrap Bag,Regular Air,2014-12-02,5.19,12.98,7.79,27,273,7%,8.20,265.30,3.14,264
5297-1,2013-09-03,Rob Haberlin,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Small Business,Connor Betts,Low,Artisan 479 Labels,Technology,Small Box,Regular Air,2013-09-05,1.59,2.61,1.02,17,22,4%,2.21,22.08,0.50,23
5297-1,2015-04-25,Peter McVee,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Corporate,Connor Betts,Critical,Pizazz Drawing Pencil Set,Furniture,Large Box,Regular Air,2015-04-27,1.53,2.78,1.25,44,45,8%,3.46,43.34,1.34,45
5297-1,2013-05-19,Grant Carroll,"10 O'Connell St,Sydney",Sydney,NSW,Consumer,Aanya Zhang,Not Specified,Artisan 481 Labels,Office Supplies,Wrap Bag,Regular Air,2013-05-20,1.94,3.08,1.14,23,118,7%,5.85,121.27,0.99,122
5297-1,2013-10-20,Tone Sayre,"155 Oxford Street,Darlinghurst",Sydney,NSW,Corporate,Samantha Chairs,Critical,Office Shears by Apex,Office Supplies,Small Box,Regular Air,2013-10-22,0.94,2.08,1.14,19,94,0%,0.00,93.60,2.56,96
5297-1,2015-03-24,Brad Norvell,"120 Hardware St,Melbourne",Melbourne,VIC,Corporate,Yvette Biti,Not Specified,Artisan 479 Labels,Office Supplies,Wrap Bag,Regular Air,2015-03-25,1.59,2.61,1.02,27,49,8%,0.00,45.20,0.50,46
5297-1,2014-09-29,Christopher Martinez,"188 Pitt Street,Sydney",Sydney,NSW,Consumer,Tina Carlton,High,Smiths Metal Binder Clips,Technology,Large Box,Regular Air,2014-09-29,1.60,2.62,1.02,46,96,7%,0.00,95.60,0.80,96
5297-1,2015-01-22,Bill Donatelli,"359 Crown Street,Surry Hills",Sydney,NSW,Small Business,Phoebe Gour,High,Apex Straight Scissors,Technology,Small Box,Express Air,2015-01-24,5.19,12.98,7.79,31,899,3%,53.95,825.11,3.14,841
5298-1,2013-02-22,Gen Letin,"81 MacLeay St,Potts Point",Sydney,NSW,Consumer,Samantha Chairs,Critical,"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Small Pack,Regular Air,2013-02-23,4.53,7.30,2.77,33,128,5%,11.62,127.52,7.72,122
5299-1,2013-11-07,Tony Molinari,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Corporate,Mihael Khan,Not Specified,Artisan 478 Labels,Furniture,Small Pack,Regular Air,2013-11-09,3.14,2.88,0.70,4,155,7%,6.20,148.78,0.49,149
5299-1,2016-11-22,Becky Pak,"79 Elliott St,Balmain",Sydney,NSW,Small Business,Aanya Zhang,Critical,Artisan 487 Labels,Office Supplies,Small Box,Regular Air,2016-11-27,2.29,3.69,1.40,8,128,2%,7.85,115.61,0.50,117
5299-1,2013-11-05,Victoria Pisteka,"Westfield Sydney,Sydney",Sydney,NSW,Small Business,Natasha Song,Critical,Artisan 487 Labels,Office Supplies,Small Box,Express Air,2013-11-07,2.29,3.69,1.40,37,155,10%,6.20,148.78,0.50,149
5299-1,2014-01-14,Toby Carlisle,"6/15 Cross Street,Double Bay",Sydney,NSW,Consumer,Leighton Forrest,Not Specified,Artisan 487 Labels,Office Supplies,Wrap Bag,Regular Air,2014-01-16,2.29,3.69,1.40,32,158,1%,6.80,148.78,0.50,159
5299-1,2013-07-24,Karl Brown,"470 Anzac Parade,Kingsford",Sydney,NSW,Corporate,Tina Carlton,Not Specified,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",Office Supplies,Small Box,Regular Air,2013-07-26,14.95,34.76,19.81,25,136,0%,7.35,125.17,8.22,127
5299-1,2013-08-20,Jennifer Patt,"523 King St,Newtown",Sydney,NSW,Corporate,Aanya Zhang,Not Specified,Apex Preferred Stainless Steel Scissors,Office Supplies,Small Pack,Regular Air,2013-08-22,2.50,5.68,3.18,23,236,1%,2.69,243.69,3.60,250
5300-1,2013-08-29,John Castell,"38/133-145 Castlereagh St,Sydney",Sydney,NSW,Small Business,Natasha Song,Medium,Steady Pocket Accent Highlighters,Office Supplies,Wrap Bag,Express Air,2013-08-30,0.93,1.60,0.67,35,92,4%,1.95,96.39,1.29,98
5300-1,2014-11-26,Maurice Satty,"188 Pitt Street,Sydney",Sydney,NSW,Consumer,Tina Carlton,High,Binding Machine Supplies,Technology,Small Pack,Regular Air,2014-11-28,18.38,29.17,10.79,32,62,8%,6.69,68.19,6.27,70
5301-1,2015-04-27,Greg Tran,"Crown Complex,Southbank",Melbourne,VIC,Consumer,Connor Betts,High,TechSavi Cordless Navigator Duo,Office Supplies,Small Box,Regular Air,2015-04-28,42.11,80.98,38.87,13,149,4%,4.49,144.11,7.18,147
5302-1,2013-11-07,Dennis Kane,"33/4 Barangaroo Avenue,Sydney",Sydney,NSW,Corporate,Natasha Song,Medium,Steady Major Accent Highlighters,Technology,Small Box,Regular Air,2013-11-08,3.75,7.08,3.33,14,205,5%,14.37,190.95,2.35,193
5302-1,2014-12-10,Bart Watters,"Westfield 1 Anderson St,Chatswood",Sydney,NSW,Small Business,Nicholas Fernandes,Not Specified,Pizazz Drawing Pencil Set,Office Supplies,Small Box,Regular Air,2014-12-11,1.53,2.78,1.25,49,87,9%,4.77,85.99,1.34,70
5302-1,2013-11-07,Dennis Kane,"33/4 Barangaroo Avenue,Sydney",Sydney,NSW,Consumer,Natasha Song,Not Specified,Steady Major Accent Highlighters,Office Supplies,Small Box,Regular Air,2013-11-08,3.75,7.08,3.33,14,205,9%,14.37,190.95,2.35,193
5302-1,2013-07-17,Pauline Webber,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Corporate,Yvette Biti,High,Artisan Round Ring Poly Binders,Office Supplies,Small Pack,Regular Air,2013-07-17,1.82,2.84,1.02,23,62,1%,6.39,58.13,5.44,59
5302-1,2014-10-17,Sam Craven,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Small Business,Connor Betts,Medium,Artisan Durable Binders,Office Supplies,Wrap Bag,Regular Air,2014-10-19,1.84,2.88,1.04,22,77,9%,0.76,70.16,1.49,19
5302-1,2013-11-07,Dennis Kane,"127 Liverpool St,Sydney",Sydney,NSW,Home Office,Samantha Chairs,Low,Steady Major Accent Highlighters,Office Supplies,Small Box,Regular Air,2013-11-08,3.75,7.08,3.33,32,205,10%,14.37,190.95,2.35,193
5302-1,2015-03-17,Miklet Nandell,"3 Carrington Road ,Box Hill",Melbourne,VIC,Small Business,Yvette Biti,Critical,Steady Major Accent Highlighters,Technology,Medium Box,Regular Air,2015-03-17,3.75,7.08,3.33,2,205,8%,14.47,190.95,2.35,193
5302-1,2013-11-02,Eugene Hildebrand,"120 Hardware St,Melbourne",Melbourne,VIC,Consumer,Yvette Biti,Critical,Steady Major Accent Highlighters,Office Supplies,Small Box,Express Air,2013-11-03,3.75,7.08,3.33,42,205,2%,14.37,190.95,2.35,193
5302-1,2013-11-02,Eugene Hildebrand,"120 Hardware St,Melbourne",Melbourne,VIC,Home Office,Yvette Biti,Medium,Steady Major Accent Highlighters,Office Supplies,Small Pack,Regular Air,2013-11-03,3.75,7.08,3.33,14,205,0%,14.37,190.95,2.35,193
5302-1,2013-11-07,Dennis Kane,"96 Liverpool St,Sydney",Sydney,NSW,Home Office,Samantha Chairs,Low,Steady Major Accent Highlighters,Office Supplies,Wrap Bag,Regular Air,2013-11-08,3.75,7.08,3.33,39,205,1%,14.37,190.95,2.35,193
5302-1,2013-07-18,Ben Wallace,"120 Hardware St,Melbourne",Melbourne,VIC,Home Office,Connor Betts,Critical,"Alto Parchment Paper, Assorted Colors",Office Supplies,Small Pack,Regular Air,2013-07-20,4.59,7.28,2.69,49,155,7%,0.00,154.92,11.15,156
5302-1,2013-02-22,Toby Swindell,"273 George Street,Sydney",Sydney,NSW,Corporate,Leighton Forrest,Low,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Small Box,Regular Air,2013-02-23,156.50,300.97,144.47,12,1204,4%,62.04,1079.69,7.18,1099
5302-1,2013-11-07,Dennis Kane,"53-55 Liverpool St,Sydney",Sydney,NSW,Corporate,Tina Carlton,High,Steady Major Accent Highlighters,Office Supplies,Small Box,Express Air,2013-11-08,3.75,7.08,3.33,9,205,3%,14.37,190.95,2.35,193
5303-1,2013-08-11,Valerie Dominguez,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Consumer,Tina Carlton,Low,Artisan 479 Labels,Office Supplies,Wrap Bag,Regular Air,2013-08-13,1.59,2.61,1.02,19,24,1%,2.23,21.86,0.50,22
5303-1,2015-02-18,Sandra Glassco,"224A Gertrude St,Fitzroy",Melbourne,VIC,Home Office,Connor Betts,Critical,Alto Memo Cubes,Technology,Medium Box,Regular Air,2015-02-19,3.32,5.18,1.86,8,41,9%,4.27,38.95,2.04,41
5303-1,2015-08-31,Larry Hughes,"541 Church St,Richmond",Melbourne,VIC,Consumer,Yvette Biti,High,Alto Memo Cubes,Furniture,Small Pack,Express Air,2015-09-01,3.32,5.18,1.86,32,41,8%,4.43,38.95,2.04,41
5303-1,2013-12-29,Christy Brittain,"Shop 1, 186-190 Church Street,Parramatta;46a Macleay Street,Potts Point",Sydney,NSW,Small Business,Mihael Khan,High,Cando PC940 Copier,Office Supplies,Small Box,Express Air,2013-12-30,278.99,449.99,171.00,31,111,3%,11.00,99.08,49.00,91
5303-1,2015-11-03,Sheri Gordon,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Home Office,Tina Carlton,Medium,Artisan 479 Labels,Office Supplies,Small Pack,Regular Air,2015-11-04,1.59,2.61,1.02,43,204,5%,12.04,191.62,0.50,200
5303-1,2013-10-21,Darrin Sayre,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Corporate,Phoebe Gour,Medium,Bagged Rubber Bands,Office Supplies,Small Pack,Regular Air,2013-10-23,0.24,1.26,1.02,8,236,3%,0.00,25.99,0.70,24
5304-1,2014-09-07,Eugene Moren,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Corporate,Mihael Khan,Medium,Smiths General Use 3-Ring Binders,Office Supplies,Small Box,Regular Air,2014-09-07,1.18,1.88,0.70,18,115,10%,8.88,106.09,1.49,120
5304-1,2016-04-13,Denny Joy,"99 Lygon Street,East Brunswick",Melbourne,VIC,Corporate,Connor Betts,High,Beekin 6 Outlet Metallic Surge Strip,Office Supplies,Small Box,Regular Air,2016-04-15,4.46,10.89,6.43,7,42,10%,0.45,41.56,4.50,46
